ID,Image Path,Canvas Label,Filename,Predicted Label
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq99.jpg,(seq. 99),seq99.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq101.jpg,(seq. 101),seq101.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq108.jpg,(seq. 108),seq108.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq109.jpg,(seq. 109),seq109.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq113.jpg,(seq. 113),seq113.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq115.jpg,(seq. 115),seq115.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq116.jpg,(seq. 116),seq116.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq117.jpg,(seq. 117),seq117.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq118.jpg,(seq. 118),seq118.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq119.jpg,(seq. 119),seq119.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq120.jpg,(seq. 120),seq120.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq121.jpg,(seq. 121),seq121.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq122.jpg,(seq. 122),seq122.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq123.jpg,(seq. 123),seq123.jpg,diagram
hou02614c00285,Manuscripts/I. Manuscripts/A. Mathematics/hou02614c00285/seq124.jpg,(seq. 124),seq124.jpg,diagram
